job_id,company_id,company_name,job_title,job_url,source,location_text,remote_policy,nyc_relevance,posted_date,job_type,salary_range,equity_range,min_experience,skills,seniority,role_family,operator_need_tags,ai_surface_tags,leadership_flag,operator_adjacent,classification_method,classification_confidence,manual_review_flag,collected_at
waas-95331,yc-29837,RentFlow,Senior AI/ML Lead,https://www.workatastartup.com/jobs/95331,workatastartup,"San Francisco, CA, US / New York, NY, US / Remote (US)",hybrid,nyc_optional,,Full-time,$130K - $200K,0.50% - 2.50%,3+ years,,lead,ai_ml_engineering,,health_ai|finance_ai,,1,keyword,0.9,0,2026-07-08T02:51:05Z
waas-97533,yc-31189,Revion,Founding Engineer,https://www.workatastartup.com/jobs/97533,workatastartup,"London, England, GB / Remote (GB)",remote,remote_us,,Full-time,£90K - £140K GBP,0.01% - 0.50%,Any (new grads ok),Go|Python|Machine Learning|AI Agents,founding,product_engineering,agent_workflows,agents|llm_applications|voice_audio,,0,keyword,0.9,0,2026-07-08T02:51:07Z
waas-92494,yc-31189,Revion,Founding Forward Deployed Enginner,https://www.workatastartup.com/jobs/92494,workatastartup,"New York, NY, US / Remote (US)",hybrid,nyc_optional,,Full-time,$100K - $200K,0.01% - 0.50%,Any (new grads ok),,founding,forward_deployed_solutions,,llm_applications|voice_audio,,1,keyword,0.9,0,2026-07-08T02:51:07Z
waas-94619,yc-27692,Rollstack,Account Executive ,https://www.workatastartup.com/jobs/94619,workatastartup,US / CA / Remote (US; CA),remote,remote_us,,Full-time,$180 - $240,0.05% - 0.50%,3+ years,,mid,gtm_sales_cs,warehouse_semantic_layer|customer_implementation|workflow_automation|gtm_analytics|security_compliance|reporting_bi,,,0,keyword,0.9,0,2026-07-08T02:51:13Z
waas-92220,yc-27692,Rollstack,Product Marketing Manager,https://www.workatastartup.com/jobs/92220,workatastartup,US / CA / GB / Remote (US; CA; GB),remote,remote_us,,Full-time,$80K - $130K,,3+ years,,mid,gtm_sales_cs,product_analytics|gtm_analytics,llm_applications,,0,keyword,0.9,0,2026-07-08T02:51:13Z
waas-88426,yc-27692,Rollstack,Software Engineer (TypeScript) - Eastern US/ Eastern Canada,https://www.workatastartup.com/jobs/88426,workatastartup,"SC, US / GA, US / VT, US / DE, US / RI, US / IN, US / NJ, US / CT, US / ME, US / FL, US / NH, US / MA, US / VA, US / WV, US / MI, US / PA, US / MD, US / NC, US / CA / Remote (SC, US; GA, US; VT, US; DE, US; RI, US; IN, US; NJ, US; CT, US; ME, US; FL, US; NH, US; MA, US; VA, US; WV, US; MI, US; PA, US; MD, US; NC, US; CA)",remote,remote_us,,Full-time,$140K - $240K,0.05% - 0.20%,3+ years,Node.js|React|TypeScript,mid,product_engineering,product_analytics|agent_workflows|infra_platform|reporting_bi,llm_applications,,0,keyword,0.9,0,2026-07-08T02:51:13Z
waas-92938,yc-27692,Rollstack,Social Media Manager,https://www.workatastartup.com/jobs/92938,workatastartup,US / CA / PT / GB / DE / ES / FR / NL / Remote (US; CA; PT; GB; DE; ES; FR; NL),remote,remote_us,,Full-time,$45K - $90K,0.05% - 0.50%,3+ years,,mid,gtm_sales_cs,,,,0,keyword,0.9,0,2026-07-08T02:51:13Z
waas-65525,yc-27692,Rollstack,Software Engineer (TypeScript) - UK & Portugal,https://www.workatastartup.com/jobs/65525,workatastartup,PT / GB / Remote (PT; GB),remote,remote_us,,Full-time,€60K - €120K EUR,0.05% - 0.20%,1+ years,Node.js|React|TypeScript,mid,product_engineering,product_analytics|agent_workflows|infra_platform|reporting_bi,llm_applications,,0,keyword,0.9,0,2026-07-08T02:51:13Z
waas-90999,yc-27692,Rollstack,Business Development Representative,https://www.workatastartup.com/jobs/90999,workatastartup,"Seattle, WA, US / Remote (Seattle, WA, US)",hybrid,remote_us,,Full-time,$85K - $100K,,1+ years,,mid,gtm_sales_cs,customer_implementation|workflow_automation|gtm_analytics|reporting_bi,,,0,keyword,0.9,0,2026-07-08T02:51:13Z
waas-91267,yc-29440,Rove,Senior Mobile Engineer (React Native),https://www.workatastartup.com/jobs/91267,workatastartup,"New York, NY, US",onsite,nyc_required,,Full-time,$150K - $225K,0.10% - 0.50%,3+ years,React Native|TypeScript,senior,product_engineering,infra_platform,finance_ai,,0,keyword,0.9,0,2026-07-08T02:51:19Z
